customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaymentMethod,PaperlessBilling,InternetService,OnlineSecurity,TechSupport,MonthlyCharges,TotalCharges,Actual_Churn,Predicted_Churn,Churn_Probability,Risk_Segment
0604-THJFP,0,0,1,1,1.082901717,2,1,1,0,0,2,0.370690504,0.996664349,0,0,0.0049789,Low Risk
4059-IIEBK,0,0,0,0,-1.035784269,0,0,1,1,0,0,0.457115657,-0.776644549,0,1,0.87784547,High Risk
2228-BZDEE,0,0,0,0,0.879181911,2,3,0,2,1,1,-1.485788258,-0.531123724,0,0,0.0325411,Low Risk
2839-RFSQE,0,0,0,0,-1.239504076,0,3,0,2,1,1,-1.467506014,-0.990289579,1,0,0.11730053,Low Risk
5360-LJCNJ,0,0,1,0,1.571829252,2,0,1,1,0,0,1.34131145,2.325807765,0,0,0.18202057,Low Risk
7752-XUSCI,0,0,0,0,1.123645678,0,2,1,1,0,0,1.366241783,1.814670028,1,1,0.55801994,Medium Risk
8277-RVRSV,0,0,1,1,0.023558724,1,1,0,2,1,1,-1.351164462,-0.654281205,0,0,0.024803568,Low Risk
3530-CRZSB,0,0,0,0,-1.035784269,0,3,0,2,1,1,-1.467506014,-0.938582408,0,0,0.16640416,Low Risk
2845-HSJCY,0,0,1,1,-0.75057654,0,2,1,1,0,0,0.746307514,-0.45208499,1,1,0.67914647,Medium Risk
0336-KXKFK,1,0,0,0,1.612573214,2,1,1,0,2,2,-0.119606036,0.929559735,0,0,0.003169647,Low Risk
7044-YAACC,1,1,1,0,-1.158016153,0,2,1,1,0,0,0.179557955,-0.883676628,0,1,0.60255605,Medium Risk
5396-IZEPB,1,0,0,0,-0.954296347,0,1,0,2,1,1,-1.499084435,-0.927640959,0,0,0.03825419,Low Risk
3317-VLGQT,0,0,1,0,-0.75057654,0,2,1,1,0,0,0.442157457,-0.512174723,0,1,0.77415746,High Risk
6967-PEJLL,1,0,1,1,0.186534569,1,2,1,0,2,2,-0.817655346,-0.334398234,0,0,0.017698498,Low Risk
2091-MJTFX,0,0,1,1,-0.09867316,0,1,0,0,0,2,-0.452010469,-0.318449307,1,0,0.30484214,Medium Risk
2034-GDRCN,0,0,0,0,-1.239504076,0,2,1,1,0,0,0.851014911,-0.933155802,1,1,0.9775479,High Risk
8676-TRMJS,1,0,0,0,-1.198760114,0,3,0,1,0,0,0.339112083,-0.915111235,1,1,0.6192098,Medium Risk
6298-QDFNH,1,0,0,0,-0.42462485,0,2,1,1,0,0,0.483708012,-0.243954803,1,1,0.8192568,High Risk
0701-TJSEF,1,0,0,0,-0.954296347,0,0,1,0,2,2,0.11473909,-0.752820426,0,0,0.020271352,Low Risk
5743-KHMNA,1,0,0,0,1.571829252,2,0,0,2,1,1,-1.304627842,-0.169945606,0,0,0.000389848,Low Risk
0613-WUXUM,0,0,1,1,1.531085291,2,3,1,2,1,1,-1.515704657,-0.38908342,0,0,0.003440462,Low Risk
3137-LUPIX,0,0,0,0,-1.158016153,0,3,1,0,0,2,-0.013236617,-0.895743105,0,0,0.29511526,Low Risk
3716-UVSPD,1,0,0,0,-1.280248037,0,2,1,0,0,2,-0.515167312,-0.985612992,0,0,0.20869948,Low Risk
4800-CZMPC,0,0,1,1,0.634718143,1,1,1,1,2,0,1.278154608,1.215140381,1,0,0.049452752,Low Risk
5144-PQCDZ,1,0,0,0,-1.158016153,0,3,1,2,1,1,-1.490774325,-0.981223176,0,0,0.18139674,Low Risk
9286-DOJGF,0,1,1,0,0.22727853,0,0,1,1,0,0,0.337450061,0.258778313,1,1,0.52637583,Medium Risk
6258-NGCNG,1,0,0,0,-1.035784269,0,3,0,2,1,1,-1.372770751,-0.931038102,0,1,0.60813665,Medium Risk
1335-MXCSE,1,0,1,1,0.919925872,2,1,1,0,0,2,-0.317386674,0.369097239,0,0,0.010344293,Low Risk
6322-HRPFA,1,0,1,1,0.675462104,0,1,0,0,2,2,-0.172790745,0.303095594,0,0,0.048174728,Low Risk
6646-QVXLR,1,1,1,0,1.205133601,1,2,1,1,0,0,1.29477483,1.808890472,1,0,0.156456,Low Risk
6941-KXRRV,0,1,1,0,0.634718143,1,0,1,0,0,0,-0.194397033,0.223417138,0,0,0.067361906,Low Risk
3716-BDVDB,1,0,0,0,-1.280248037,0,2,1,1,0,0,0.142993467,-0.97687748,1,1,0.98151577,High Risk
2465-BLLEU,1,0,0,0,-1.280248037,0,3,1,2,1,1,-1.497422413,-0.998650081,0,1,0.89972234,High Risk
1525-LNLOJ,1,0,1,1,1.368109446,2,0,1,0,0,0,-0.049801105,0.841079589,0,0,0.002409344,Low Risk
0390-DCFDQ,0,1,1,0,-1.280248037,0,3,1,1,0,0,0.187868066,-0.976281877,1,1,0.9038451,High Risk
